name;brewery_type;address_1;address_2;address_3;city;state_province;postal_code;country;longitude;latitude;phone;website_url;state;street;LineHash;BlockHash;InsertDate
1718 Ocracoke Brewing;brewpub;1129 Irvin Garrish Hwy;Others;Others;Ocracoke;North Carolina;27960;United States;-7.597.176.063;3.510.715.368;2529282337;http://www.ocracokebrewing.com;North Carolina;1129 Irvin Garrish Hwy;f41a0c47-ba9b-4547-bfed-fcbefe0fc74b;Hash;2024-06-03 11:15:13.621295
1781 Brewing Company;micro;11109 Plank Rd;Others;Others;Spotsylvania;Virginia;22553-4258;United States;0;0;5408412598;WithoutWebSite;Virginia;11109 Plank Rd;84d621c4-81a5-44e6-aca7-1566c2e67cc0;Hash;2024-06-03 11:15:13.621295
180 and Tapped;micro;2010 A State Ave;Others;Others;Coraopolis;Pennsylvania;15108;United States;-8.015.020.356;4.050.984.957;4127375273;http://www.180andtapped.com;Pennsylvania;2010 A State Ave;896f26a1-d80e-4790-9287-026a86c1799d;Hash;2024-06-03 11:15:13.621295
1817 Brewery;micro;100 B South Olive St;Others;Others;okolona;Mississippi;38860;United States;-88.750.264;34.001.703;6623055907;WithoutWebSite;Mississippi;100 B South Olive St;46839a79-b7bf-4733-b91b-ce116d062a57;Hash;2024-06-03 11:15:13.621295
1840 Brewing Company;micro;342 E Ward St;Others;Others;Milwaukee;Wisconsin;53207-1348;United States;-8.790.606.942;4.300.436.242;4142364056;http://www.1840brewing.com;Wisconsin;342 E Ward St;1a1b2165-73ed-40aa-b89b-56794d140f22;Hash;2024-06-03 11:15:13.621295
1850 Brewing Company;micro;Others;Others;Others;Mariposa;California;95338;United States;-1.199.036.592;37.570.148;0;http://www.1850restaurant.com;California;Others;fe6b9893-b93e-43d5-a9f6-3e0c89a3f13c;Hash;2024-06-03 11:15:13.621295
18th Street Brewery;micro;5725 Miller Ave;Others;Others;Gary;Indiana;46403-2871;United States;-8.726.887.786;4.159.928.343;0;http://www.18thstreetbrewery.com;Indiana;5725 Miller Ave;b51f3cdf-60ff-4ae1-94a7-76906c7d62eb;Hash;2024-06-03 11:15:13.621295
18th Street Brewery;micro;5417 Oakley Ave;Others;Others;Hammond;Indiana;46320-1817;United States;-87.517.422;4.161.556.796;0;WithoutWebSite;Indiana;5417 Oakley Ave;add7f978-942e-4d56-b209-c80837a51d69;Hash;2024-06-03 11:15:13.621295
1905 Brewing Company;micro;1301 S Chestnut St;Others;Others;Assumption;Illinois;62510-8504;United States;-890.503.635;395.172.564;2172549374;http://1905BrewingCompany.com;Illinois;1301 S Chestnut St;dbde8235-2b55-4d8b-8b1c-438155abe104;Hash;2024-06-03 11:15:13.621295
1912 Brewing;micro;2045 N Forbes Blvd Ste 105;Others;Others;Tucson;Arizona;85745-1444;United States;-1.109.927.505;3.224.673.727;5202564851;http://www.1912brewing.com;Arizona;2045 N Forbes Blvd Ste 105;4f4b5b34-d572-4dff-a18f-47e507c073e6;Hash;2024-06-03 11:15:13.621295
