name;brewery_type;address_1;city;state;street;postal_code;country;longitude;latitude;phone;website_url;LineHash;BlockHash;InsertDate
10th District Brewing Company;micro;491 Washington St;Abington;Massachusetts;491 Washington St;02351-2419;United States;-7.094.594.149;4.210.591.754;7813071554;http://www.10thdistrictbrewing.com;232e8f62-9afc-45f5-b4bc-582c26b5c43b;Hash;2024-06-03 11:15:13.621295
11 Below Brewing Company;micro;6820 Bourgeois Rd;Houston;Texas;6820 Bourgeois Rd;77066-3107;United States;-955.186.591;299.515.464;2814442337;http://www.11belowbrewing.com;08f78223-24f8-4b71-b381-ea19a5bd82df;Hash;2024-06-03 11:15:13.621295
1188 Brewing Co;brewpub;141 E Main St;John Day;Oregon;141 E Main St;97845-1210;United States;-1.189.218.754;444.146.563;5415751188;http://www.1188brewing.com;58293321-14ae-49d7-9a7b-08436c9e63a6;Hash;2024-06-03 11:15:13.621295
12 Acres Brewing Company;micro;Unnamed Street;Killeshin;Laois;Unnamed Street;R93 X3X8;Ireland;-6.979.343.891;5.284.930.763;3,54E+11;https://12acresbrewing.ie/;e5f3e72a-fee2-4813-82cf-f2e53b439ae6;Hash;2024-06-03 11:15:13.621295
12 Gates Brewing Company;brewpub;80 Earhart Dr Ste 20;Williamsville;New York;80 Earhart Dr Ste 20;14221-7804;United States;0;0;7169066600;http://www.12gatesbrewing.com;d81ff708-b5d2-478f-af6a-6d40f5beb9ac;Hash;2024-06-03 11:15:13.621295
12 West Brewing Company;micro;3000 E Ray Rd Bldg 6;Gilbert;Arizona;3000 E Ray Rd Bldg 6;85296-7832;United States;0;0;6023395014;http://www.12westbrewing.com;fb94830f-6196-4f59-9189-c9060b778085;Hash;2024-06-03 11:15:13.621295
12 West Brewing Company - Production Facility;micro;Others;Mesa;Arizona;Others;85207;United States;-1.115.860.662;33.436.188;0;WithoutWebSite;0faa0fb2-fffa-416d-9eab-46f67477c8ef;Hash;2024-06-03 11:15:13.621295
122 West Brewing Co;closed;2416 Meridian St;Bellingham;Washington;2416 Meridian St;98225-2405;United States;-122.485.982;487.621.709;3603063285;https://www.122westbrew.com/;e54c2f02-acd6-4172-861d-fcfa54c8701a;Hash;2024-06-03 11:15:13.621295
127 Brewing;micro;3090 Shirley Dr;Jackson;Michigan;3090 Shirley Dr;49201-7010;United States;-8.443.116.792;4.228.667.212;5172581346;WithoutWebSite;d5cb896d-3e99-4e19-9693-5e06ce987e53;Hash;2024-06-03 11:15:13.621295
12Degree Brewing;brewpub;820 Main St;Louisville;Colorado;820 Main St;80027-1865;United States;-1.051.319.826;399.782.443;3035791004;http://www.12degree.com;06e9fffb-e820-45c9-b107-b52b51013e8f;Hash;2024-06-03 11:15:13.621295
12welve Eyes Brewing;micro;141 E 4th St Ste LL2;Saint Paul;Minnesota;141 E 4th St Ste LL2;55101-1639;United States;0;0;6514938106;http://www.12welveEyes.com;50521ef7-f543-4c5d-98b1-0d0ee1a2be01;Hash;2024-06-03 11:15:13.621295
13 Below Brewery;micro;7391 Forbes Rd;Cincinnati;Ohio;7391 Forbes Rd;45233-1013;United States;-8.470.634.815;3.912.639.764;5139750613;http://www.13belowbrewery.com;950180bd-29c9-46b3-ad0c-e6f09799ec7f;Hash;2024-06-03 11:15:13.621295
13 Stripes Brewery;brewpub;250 Mill St, Suite PW3101;Taylors;South Carolina;250 Mill St, Suite PW3101;29687;United States;0;0;8643491430;http://www.13StripesBrewery.com;45119c56-345b-4adc-b481-c5cf7bfe98c4;Hash;2024-06-03 11:15:13.621295
13 Virtues Brewing Co;brewpub;6410 SE Milwaukie Ave;Portland;Oregon;6410 SE Milwaukie Ave;97202-5518;United States;-1.226.487.531;454.762.536;5032393831;http://www.13virtuesbrewing.com;936c3d7e-5d54-4459-b72c-117cdda059b4;Hash;2024-06-03 11:15:13.621295
1323 R & D;micro;1323 Capital Blvd 1323 R and D;Raleigh;North Carolina;1323 Capital Blvd 1323 R and D;27603-1117;United States;0;0;9199775654;http://www.1323rnd.com;5c53b314-ebab-4e3e-89be-e4139d9318ae;Hash;2024-06-03 11:15:13.621295
14 Cannons Brewing Company;micro;31125 Via Colinas Ste 907;Westlake Village;California;31125 Via Colinas Ste 907;91362-3974;United States;-118.802.397;3.415.334;8186996165;http://14cannons.com;4788221a-a03b-458c-9084-4cadd69ade6d;Hash;2024-06-03 11:15:13.621295
14 Lakes Brewery;micro;Others;Crosslake;Minnesota;Others;56442;United States;0;0;2186924129;WithoutWebSite;b7b68d22-5045-4501-b9bf-ec94946eaffc;Hash;2024-06-03 11:15:13.621295
14er Brewing Company;proprietor;2801 Walnut St;Denver;Colorado;2801 Walnut St;80205-2235;United States;-1.049.839.636;397.614.112;7207731437;http://www.14erBrewing.com;4b677b60-fef1-42e2-90ef-dadc1bd7fb06;Hash;2024-06-03 11:15:13.621295
14th Star Brewing;micro;133 N Main St Ste 7;Saint Albans;Vermont;133 N Main St Ste 7;05478-1735;United States;0;0;8025285988;http://www.14thstarbrewing.com;6c53984f-fac1-4ea7-9c44-44e25897c71a;Hash;2024-06-03 11:15:13.621295
16 Lots Brewing;brewpub;753 Reading Rd;Mason;Ohio;753 Reading Rd;45040-1303;United States;-843.183.801;393.545.967;5134863672;http://www.16lots.com;85192a9c-58a4-48c3-bd9d-496d09d22aa3;Hash;2024-06-03 11:15:13.621295
16 Mile Brewing Co;micro;413 S Bedford St;Georgetown;Delaware;413 S Bedford St;19947-1849;United States;-7.537.816.436;386.788.938;3022538816;http://www.16milebrewery.com;284b44f8-6ccb-4cd6-8d06-f2ad882a47c3;Hash;2024-06-03 11:15:13.621295
16 Stone Brewpub;brewpub;9542 Main St;Holland Patent;New York;9542 Main St;13354;United States;-752.565.195;4.324.211.175;3158658500;http://www.16stonebrewpub.com;ee6d39c6-092f-4623-8099-5b8643f70dbe;Hash;2024-06-03 11:15:13.621295
1623 Brewing CO, llc;contract;1146 colonel Joshua Ct;Westminister;Maryland;1146 colonel Joshua Ct;21157;United States;0;0;0;WithoutWebSite;d35b40b0-a3ff-4878-a6ee-9caa2149b521;Hash;2024-06-03 11:15:13.621295
1717 Brewing Co;micro;322 E Court Ave;Des Moines;Iowa;322 E Court Ave;50309-2015;United States;-936.120.353;415.872.267;5152437868;http://1717brewing.com;84bd3b3c-bd2d-4e07-bc31-b43a8c8ebf4c;Hash;2024-06-03 11:15:13.621295
1718 Ocracoke Brewing;brewpub;1129 Irvin Garrish Hwy;Ocracoke;North Carolina;1129 Irvin Garrish Hwy;27960;United States;-7.597.176.063;3.510.715.368;2529282337;http://www.ocracokebrewing.com;f41a0c47-ba9b-4547-bfed-fcbefe0fc74b;Hash;2024-06-03 11:15:13.621295
1781 Brewing Company;micro;11109 Plank Rd;Spotsylvania;Virginia;11109 Plank Rd;22553-4258;United States;0;0;5408412598;WithoutWebSite;84d621c4-81a5-44e6-aca7-1566c2e67cc0;Hash;2024-06-03 11:15:13.621295
180 and Tapped;micro;2010 A State Ave;Coraopolis;Pennsylvania;2010 A State Ave;15108;United States;-8.015.020.356;4.050.984.957;4127375273;http://www.180andtapped.com;896f26a1-d80e-4790-9287-026a86c1799d;Hash;2024-06-03 11:15:13.621295
1817 Brewery;micro;100 B South Olive St;okolona;Mississippi;100 B South Olive St;38860;United States;-88.750.264;34.001.703;6623055907;WithoutWebSite;46839a79-b7bf-4733-b91b-ce116d062a57;Hash;2024-06-03 11:15:13.621295
1840 Brewing Company;micro;342 E Ward St;Milwaukee;Wisconsin;342 E Ward St;53207-1348;United States;-8.790.606.942;4.300.436.242;4142364056;http://www.1840brewing.com;1a1b2165-73ed-40aa-b89b-56794d140f22;Hash;2024-06-03 11:15:13.621295
1850 Brewing Company;micro;Others;Mariposa;California;Others;95338;United States;-1.199.036.592;37.570.148;0;http://www.1850restaurant.com;fe6b9893-b93e-43d5-a9f6-3e0c89a3f13c;Hash;2024-06-03 11:15:13.621295
18th Street Brewery;micro;5725 Miller Ave;Gary;Indiana;5725 Miller Ave;46403-2871;United States;-8.726.887.786;4.159.928.343;0;http://www.18thstreetbrewery.com;b51f3cdf-60ff-4ae1-94a7-76906c7d62eb;Hash;2024-06-03 11:15:13.621295
18th Street Brewery;micro;5417 Oakley Ave;Hammond;Indiana;5417 Oakley Ave;46320-1817;United States;-87.517.422;4.161.556.796;0;WithoutWebSite;add7f978-942e-4d56-b209-c80837a51d69;Hash;2024-06-03 11:15:13.621295
1905 Brewing Company;micro;1301 S Chestnut St;Assumption;Illinois;1301 S Chestnut St;62510-8504;United States;-890.503.635;395.172.564;2172549374;http://1905BrewingCompany.com;dbde8235-2b55-4d8b-8b1c-438155abe104;Hash;2024-06-03 11:15:13.621295
1912 Brewing;micro;2045 N Forbes Blvd Ste 105;Tucson;Arizona;2045 N Forbes Blvd Ste 105;85745-1444;United States;-1.109.927.505;3.224.673.727;5202564851;http://www.1912brewing.com;4f4b5b34-d572-4dff-a18f-47e507c073e6;Hash;2024-06-03 11:15:13.621295
